Device Make,Device Model,Popular
Dell,Streak 10 Pro,0
Dell,Streak 7,0
Dell,Streak 7/Streak 7,0
Dell,Venue,0
Dell,venue pro,0
Dell,XCD 28,0
Dell,XCD 35,0
Dell,XCD35,0
Dicam,T905,0
Disney Mobile,DM009SH,0
Disney Mobile,DM010SH,0
Disney Mobile,DM011SH,0
DJC,Touchtab2,0
DoCoMo,901i Series,0
DoCoMo,D701i,0
DoCoMo,D701iWM,0
DoCoMo,D704i,0
DoCoMo,D705i,0
DoCoMo,D901i,0
DoCoMo,D901iS,0
DoCoMo,D905i,1
DoCoMo,F-01A,1
DoCoMo,F-01B,1
DoCoMo,F-01C,1
DoCoMo,F-01D,1
DoCoMo,F-02A,1
DoCoMo,F-02B,1
DoCoMo,F-02C,0
DoCoMo,F-02D,0
DoCoMo,F-03A,0
DoCoMo,F-03B,1
DoCoMo,F-03C,1
DoCoMo,F-03D,0
DoCoMo,F-04A,1
DoCoMo,F-04B,1
DoCoMo,F-04C,0
DoCoMo,F-04D,0
DoCoMo,F-05A,0
DoCoMo,F-05C,1
DoCoMo,F-05D,1
DoCoMo,F-06A,0
DoCoMo,F-06B,1
DoCoMo,F-06D,0
DoCoMo,F-07A,0
DoCoMo,F-07B,1
DoCoMo,F-07D,0
DoCoMo,F-08A,0
DoCoMo,F-08B,0
DoCoMo,F-08C,0
DoCoMo,F-08D,0
DoCoMo,F-09A,1
DoCoMo,F-09B,0
DoCoMo,F-09C,0
DoCoMo,F-10A,0
DoCoMo,F-10B,0
DoCoMo,F700i,0
DoCoMo,F700iS,0
DoCoMo,F704i,0
DoCoMo,F705i,0
DoCoMo,F706i,0
DoCoMo,F801i,0
DoCoMo,F880iES,0
DoCoMo,F881iES,0
DoCoMo,F882iES,0
DoCoMo,F883iES,0
DoCoMo,F883iESS,0
DoCoMo,F883iS,0
DoCoMo,F884i,0
DoCoMo,F884iES,0
DoCoMo,F901iC,0
DoCoMo,F901iS,0
DoCoMo,F905i,1
DoCoMo,F905iBiz,0
DoCoMo,F906i,1
DoCoMo,L-01A,0
DoCoMo,L-01B,0
DoCoMo,L-01C,0
DoCoMo,L-02B,0
DoCoMo,L-03A,0
DoCoMo,L-03B,0
DoCoMo,L-03C,0
DoCoMo,L-04A,0
DoCoMo,L-04B,0
DoCoMo,L-06A,0
DoCoMo,L600i,0
DoCoMo,L601i,0
DoCoMo,L602i,0
DoCoMo,L704i,0
DoCoMo,L705i,0
DoCoMo,L705iX,0
DoCoMo,L706ie,0
DoCoMo,L852i/Prada,0
DoCoMo,M702iG,0
DoCoMo,M702iS,0
DoCoMo,myC5-3i,0
DoCoMo,N-01A,1
DoCoMo,N-01B,1
DoCoMo,N-01C,0
DoCoMo,N-01D,0
DoCoMo,N-02A,1
DoCoMo,N-02B,1
DoCoMo,N-02C,1
DoCoMo,N-03A,1
DoCoMo,N-03B,1
DoCoMo,N-03C,0
DoCoMo,N-04A,1
DoCoMo,N-04B,1
DoCoMo,N-04D,0
DoCoMo,N-05A,0
DoCoMo,N-05B,0
DoCoMo,N-06A,1
DoCoMo,N-06B,1
DoCoMo,N-06D,0
DoCoMo,N-07A,1
DoCoMo,N-07B,1
DoCoMo,N-08A,1
DoCoMo,N-08B,0
DoCoMo,N-09A,0
DoCoMo,N2102V,0
DoCoMo,N700i,0
DoCoMo,N701i,0
DoCoMo,N701iECO,0
DoCoMo,N704i,0
DoCoMo,N705i,0
DoCoMo,N706i,0
DoCoMo,N706ie,0
DoCoMo,N706iII,0
DoCoMo,N901iC,0
DoCoMo,N901iS,0
DoCoMo,N902iX,0
DoCoMo,N905i,1
DoCoMo,N905iBiz,0
DoCoMo,N906i,1
DoCoMo,N906iL,0
DoCoMo,NM705i,0
DoCoMo,NM706i,0
DoCoMo,NM850iG,0
DoCoMo,P-01A,1
DoCoMo,P-01B,1
DoCoMo,P-01C,0
DoCoMo,P-01D,0
DoCoMo,P-02A,1
DoCoMo,P-02B,1
DoCoMo,P-02C,0
DoCoMo,P-02D,1
DoCoMo,P-03A,1
DoCoMo,P-03B,1
DoCoMo,P-03C,1
DoCoMo,P-04A,1
DoCoMo,P-04B,1
DoCoMo,P-04D,0
DoCoMo,P-05A,0
DoCoMo,P-05B,0
DoCoMo,P-05D,0
DoCoMo,P-06A,0
DoCoMo,P-06B,1
DoCoMo,P-07A,1
DoCoMo,P-07B,1
Docomo,P-07C,1
DoCoMo,P-08A,1
DoCoMo,P-09A,0
DoCoMo,P-10A,1
DoCoMo,P213i,0
DoCoMo,P700i,0
DoCoMo,P701iD,0
DoCoMo,P704i,0
DoCoMo,P705i,0
DoCoMo,P705iCL,0
DoCoMo,P706i,0
DoCoMo,P706ie,0
DoCoMo,P851i,0
DoCoMo,P901i,0
DoCoMo,P901iTV,0
DoCoMo,P905i,1
DoCoMo,P905iTV,0
DoCoMo,P906i,0
DoCoMo,SA700iS,0
DoCoMo,SA800i,0
DoCoMo,SC-01D,0
DoCoMo,SC-03D,1
DoCoMo,SC-05D,0
DoCoMo,SH-01A,1
DoCoMo,SH-01B,1
DoCoMo,SH-01C,1
DoCoMo,SH-01D,1
DoCoMo,SH-02A,1
DoCoMo,SH-02B,1
DoCoMo,SH-02C,1
DoCoMo,SH-02D,0
DoCoMo,SH-03A,1
DoCoMo,SH-04A,1
DoCoMo,SH-04B,0
DoCoMo,SH-04C,0
DoCoMo,SH-04D,0
DoCoMo,SH-05A,1
DoCoMo,Sh-05B,0
DoCoMo,SH-05C,0
DoCoMo,SH-06A,1
DoCoMo,SH-06B,1
DoCoMo,SH-06C,0
